Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
59280 2020 5 30 0 8192.0000 20200529231516 1041.0000 0.0534 0.1169 482.0000 999999.0000 999999.0000 999999.0000 -4.5000 -8.1000 3.6000 
59280 2020 5 30 0 8192.0000 20200529231516 335.0000 0.0078 0.0195 800.0000 999999.0000 999999.0000 999999.0000 14.8000 12.9000 1.9000 
59280 2020 5 30 0 8192.0000 20200529231516 1451.0000 0.0800 0.1717 341.0000 999999.0000 999999.0000 999999.0000 -20.1000 -30.3000 10.2000 
59280 2020 5 30 0 8192.0000 20200529231516 678.0000 0.0276 0.0632 631.0000 999999.0000 999999.0000 999999.0000 6.3000 2.9000 3.4000 
59280 2020 5 30 0 8192.0000 20200529231516 1198.0000 0.0633 0.1386 423.0000 999999.0000 999999.0000 999999.0000 -12.0000 -13.1000 1.1000 
59280 2020 5 30 0 65536.0000 20200529231516 3528.0000 0.1599 0.2758 30.0000 23942.0000 111.0000 14.0000 -53.5000 999999.0000 999998.0000 
59280 2020 5 30 0 65536.0000 20200529231516 3862.0000 0.1689 0.2430 20.0000 26566.0000 90.0000 10.0000 -50.1000 999999.0000 999998.0000 
59280 2020 5 30 0 65536.0000 20200529231516 3113.0000 0.1602 0.3266 50.0000 20749.0000 89.0000 10.0000 -63.7000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 0.0000 -0.0102 -0.0013 1001.0000 999999.0000 999999.0000 999999.0000 26.5000 26.5000 0.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1957.0000 0.0602 0.1796 216.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1951.0000 0.0598 0.1788 217.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1966.0000 0.0611 0.1811 214.0000 999999.0000 999999.0000 999999.0000 41.8000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1933.0000 0.0585 0.1766 221.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1927.0000 0.0581 0.1758 222.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
